characters,pronunciation,translation,frequency,old_version,frequency_rank
别的,biéde,другое,3,別的,1
的确,díquè,действительно,2,的確,1
一样,yīyàng,одинаковый,6,一樣,2
一定,yīdìng,обязательно,5,一定,2
一起,yīqǐ,вместе,4,一起,2
一天,yītiān,один день,4,一天,2
一级,yījí,первого класса,1,一級,2
不管,bùguǎn,независимо от,4,不管,4
不行,bùxíng,нельзя,4,不行,4
不过,búguò,однако,4,不過,4
不错,búcuò,неплохо,3,不錯,4
不利,búlì,неблагоприятный,1,不利,4
不断,búduàn,непрерывно,1,不斷,4
不愧,búkuì,достоин / как и ожидалось,1,不愧,4
糟了,zāole,плохо дело,1,糟了,5
现在,xiànzài,сейчас,20,現在,6
存在,cúnzài,существование,4,存在,6
正在,zhèngzài,в процессе,2,正在,6
人类,rénlèi,человечество / люди,51,人類,7
敌人,dírén,враг,3,敵人,7
人员,rényuán,персонал,1,人員,7
好人,hǎorén,хороший человек,1,好人,7
坏人,huàirén,плохой человек,1,壞人,7
亲人,qīnrén,родной человек,1,親人,7
所有,suǒyǒu,все,8,所有,8
有点,yǒudiǎn,немного,3,有點,8
有劳,yǒuláo,спасибо за труд,1,有勞,8
有利,yǒulì,выгодный,1,有利,8
有名,yǒumíng,известный,1,有名,8
这样,zhèyàng,так / таким образом,8,這樣,11
这次,zhècì,в этот раз,9,這次,11
这边,zhèbiān,сюда / эта сторона,8,這邊,11
整个,zhěnggè,весь / целый,1,整個,12
集中,jízhōng,сосредоточить,1,集中,14
中间,zhōngjiān,середина,1,中間,14
回来,huílái,вернуться,4,回來,15
出来,chūlái,выйти,4,出來,15
过来,guòlái,подойти,3,過來,15
本来,běnlái,изначально,3,本來,15
看来,kànlái,похоже,2,看來,15
未来,wèilái,будущее,2,未來,15
原来,yuánlái,оказывается,1,原來,15
进来,jìnlái,входить,1,進來,15
后来,hòulái,потом / впоследствии,1,後來,15
跟上,gēnshàng,угнаться,2,跟上,16
上报,shàngbào,доложить наверх,2,上報,16
上古,shànggǔ,глубокая древность,1,上古,16
楼上,lóushàng,наверху,1,樓上,16
强大,qiángdà,могучий,2,強大,17
大批,dàpī,большая партия,1,大批,17
大陆,dàlù,материк,1,大陸,17
列为,lièwéi,отнести к,1,列為,18
为何,wèihé,почему,1,為何,18
暖和,nuǎnhuo,тёплый,1,暖和,19
国家,guójiā,страна / государство,4,國家,20
国境,guójìng,граница,1,國境,20
国际,guójì,международный,1,國際,20
地方,dìfang,место,9,地方,21
基地,jīdì,база,6,基地,21
余地,yúdì,пространство для манёвра,2,餘地,21
特地,tèdì,специально,1,特地,21
地震,dìzhèn,землетрясение,1,地震,21
找到,zhǎodào,найти,7,找到,22
抓到,zhuādào,поймать,5,抓到,22
到底,dàodǐ,в конце концов,4,到底,22
碰到,pèngdào,встретить / столкнуться,3,碰到,22
看到,kàndào,видеть,2,看到,22
查到,chádào,выяснить,2,查到,22
轮到,lúndào,подходить (об очереди),2,輪到,22
说服,shuōfú,убедить,1,說服,24
说话,shuōhuà,говорить,5,說話,24
时候,shíhou,время / момент,8,時候,25
临时,línshí,временный,2,臨時,25
暂时,zànshí,временно,1,暫時,25
时代,shídài,эпоха,1,時代,25
当时,dāngshí,в то время,1,當時,25
需要,xūyào,нуждаться,9,需要,26
必要,bìyào,необходимость,2,必要,26
重要,zhòngyào,важный,2,重要,26
出发,chūfā,отправляться,4,出發,28
出去,chūqù,выйти,3,出去,28
出手,chūshǒu,вмешаться / действовать,2,出手,28
出事,chūshì,случилась беда,1,出事,28
付出,fùchū,заплатить / отдать,1,付出,28
出门,chūmén,выходить из дома,1,出門,28
出息,chūxi,толк / успех,1,出息,28
出入,chūrù,входить и выходить,1,出入,28
出动,chūdòng,выступить,1,出動,28
出现,chūxiàn,появиться,1,出現,28
会馆,huìguǎn,гильдия / зал собраний,70,會館,29
可能,kěnéng,возможно,5,可能,30
可怕,kěpà,страшный,1,可怕,30
可笑,kěxiào,смешной / нелепый,1,可笑,30
也许,yěxǔ,возможно,1,也許,31
对付,duìfu,справиться / противостоять,5,對付,33
对手,duìshǒu,противник,4,對手,33
对立,duìlì,противостоять,1,對立,33
对待,duìdài,относиться,1,對待,33
对策,duìcè,контрмера,1,對策,33
对错,duìcuò,правота и неправота,1,對錯,33
生气,shēngqì,сердиться,5,生氣,34
生活,shēnghuó,жизнь,2,生活,34
生长,shēngzhǎng,расти,1,生長,34
生死,shēngsǐ,жизнь и смерть,1,生死,34
能力,nénglì,способность,8,能力,35
反而,fǎn'ér,наоборот,1,反而,36
孩子,háizi,ребёнок,3,孩子,37
弟子,dìzǐ,ученик,2,弟子,37
子弹,zǐdàn,патрон,1,子彈,37
本子,běnzi,тетрадь,1,本子,37
院子,yuànzi,двор,1,院子,37
日子,rìzi,дни / жизнь,1,日子,37
镯子,zhuózi,браслет,1,鐲子,37
样子,yàngzi,вид / облик,1,樣子,37
觉得,juéde,считать / думать,8,覺得,39
得手,déshǒu,удалось / справиться,1,得手,39
等于,děngyú,равняться,1,等於,40
属于,shǔyú,принадлежать,1,屬於,40
终于,zhōngyú,наконец,1,終於,40
下雪,xiàxuě,идёт снег,1,下雪,42
下方,xiàfāng,внизу,1,下方,42
自己,zìjǐ,сам,11,自己,43
亲自,qīnzì,лично,2,親自,43
自身,zìshēn,сам / собственный,1,自身,43
自由,zìyóu,свобода,1,自由,43
之前,zhīqián,раньше,5,之前,44
之内,zhīnèi,в пределах,2,之內,44
之后,zhīhòu,после,1,之後,44
早年,zǎonián,в ранние годы,1,早年,45
过去,guòqù,пройти / прошлое,2,過去,46
发展,fāzhǎn,развиваться,2,發展,47
发现,fāxiàn,обнаружить,1,發現,47
爆发,bàofā,вспыхнуть,1,爆發,47
后面,hòumiàn,сзади,1,後面,48
最后,zuìhòu,последний / в конце,2,最後,48
落后,luòhòu,отставать,2,落後,48
善后,shànhòu,уладить последствия,1,善後,48
幕后,mùhòu,закулисный,1,幕後,48
后续,hòuxù,последующий,1,後續,48
工作,gōngzuò,работа,1,工作,49
制作,zhìzuò,изготавливать,1,製作,49
作用,zuòyòng,действие / эффект,1,作用,49
公里,gōnglǐ,километр,2,公里,50
里面,lǐmiàn,внутри,2,裡面,50
使用,shǐyòng,использовать,4,使用,51
利用,lìyòng,использовать,3,利用,51
用途,yòngtú,назначение,1,用途,51
军用,jūnyòng,военный,1,軍用,51
征用,zhēngyòng,реквизировать,1,徵用,51
知道,zhīdào,знать,21,知道,52
近道,jìndào,короткий путь,1,近道,52
执行,zhíxíng,исполнять,22,執行,53
行动,xíngdòng,действие / акция,5,行動,53
德行,déxíng,поведение / нрав,1,德行,53
滑行,huáxíng,скользить / руление,1,滑行,53
禁行,jìnxíng,проход запрещён,1,禁行,53
厕所,cèsuǒ,туалет,1,廁所,54
当然,dāngrán,конечно,7,當然,55
果然,guǒrán,действительно / как и ожидалось,2,果然,55
既然,jìrán,раз уж,2,既然,55
依然,yīrán,по-прежнему,1,依然,55
公然,gōngrán,открыто,1,公然,55
居然,jūrán,неожиданно,1,居然,55
各种,gèzhǒng,всякие,2,各種,57
没事,méishì,всё в порядке,5,沒事,58
急事,jíshì,срочное дело,2,急事,58
事件,shìjiàn,событие / инцидент,2,事件,58
本事,běnshì,умение,1,本事,58
同事,tóngshì,коллега,1,同事,58
碍事,àishì,мешать,1,礙事,58
多事,duōshì,лезть не в своё дело,1,多事,58
好事,hǎoshì,хорошее дело,1,好事,58
完成,wánchéng,завершить,1,完成,59
成功,chénggōng,успех,1,成功,59
方向,fāngxiàng,направление,3,方向,60
方法,fāngfǎ,метод,2,方法,60
多谢,duōxiè,большое спасибо,1,多謝,61
已经,yǐjīng,уже,13,已經,62
曾经,céngjīng,когда-то,1,曾經,62
什么,shénme,что,62,什麼,63
怎么,zěnme,как / почему,44,怎麼,63
回去,huíqù,вернуться,9,回去,64
办法,bànfǎ,способ,4,辦法,65
法阵,fǎzhèn,магический круг,1,法陣,65
法宝,fǎbǎo,волшебное сокровище,1,法寶,65
如果,rúguǒ,если,21,如果,67
如今,rújīn,ныне,2,如今,67
如何,rúhé,как,2,如何,67
同意,tóngyì,согласие,2,同意,69
伙同,huǒtóng,сообща,1,夥同,69
现场,xiànchǎng,место происшествия,3,現場,70
实现,shíxiàn,осуществить,1,實現,70
现身,xiànshēn,объявиться,1,現身,70
相当,xiāngdāng,довольно / соответственно,2,相當,71
动机,dòngjī,мотив,3,動機,73
动手,dòngshǒu,начать действовать / применить силу,2,動手,73
主动,zhǔdòng,инициатива,2,主動,73
别动,biédòng,не двигайся,2,別動,73
妄动,wàngdòng,действовать необдуманно,1,妄動,73
外面,wàimiàn,снаружи,2,外面,74
面罩,miànzhào,маска,1,面罩,74
背面,bèimiàn,обратная сторона,1,背面,74
小看,xiǎokàn,недооценивать,2,小看,76
看管,kānguǎn,присматривать,1,看管,76
稳定,wěndìng,стабильный,6,穩定,77
确定,quèdìng,определить / удостовериться,3,確定,77
肯定,kěndìng,наверняка,2,肯定,77
定位,dìngwèi,определить местоположение,1,定位,77
定性,dìngxìng,квалифицировать (дело),1,定性,77
昨天,zuótiān,вчера,4,昨天,78
今天,jīntiān,сегодня,4,今天,78
明天,míngtiān,завтра,3,明天,78
三天,sāntiān,три дня,2,三天,78
分钟,fēnzhōng,минута,4,分鐘,79
分馆,fēnguǎn,филиал,1,分館,79
分头,fēntóu,разделиться,1,分頭,79
还给,huángěi,вернуть,1,還給,80
进度,jìndù,ход / прогресс,1,進度,81
进入,jìnrù,войти,1,進入,81
进展,jìnzhǎn,прогресс,1,進展,81
进步,jìnbù,прогресс,3,進步,81
进攻,jìngōng,атаковать,1,進攻,81
治好,zhìhǎo,вылечить,1,治好,82
修好,xiūhǎo,починить,1,修好,82
好险,hǎoxiǎn,чуть не / опасно,1,好險,82
小心,xiǎoxīn,осторожно,5,小心,83
小孩,xiǎohái,ребёнок,3,小孩,83
小技,xiǎojì,мелкий трюк,1,小技,83
全部,quánbù,полностью / все,3,全部,84
其实,qíshí,на самом деле,3,其實,85
其它,qítā,другое / прочее,1,其它,85
主体,zhǔtǐ,основная часть,2,主體,87
主场,zhǔchǎng,своё поле,1,主場,87
主使,zhǔshǐ,зачинщик,1,主使,87
理由,lǐyóu,причина / повод,3,理由,89
处理,chǔlǐ,обработать / решить,2,處理,89
理论,lǐlùn,теория,1,理論,89
常理,chánglǐ,здравый смысл,1,常理,89
放心,fàngxīn,не беспокоиться,7,放心,90
开心,kāixīn,радостный,2,開心,90
担心,dānxīn,беспокоиться,1,擔心,90
心疼,xīnténg,жалеть,1,心疼,90
根本,gēnběn,в корне / вообще,3,根本,92
前辈,qiánbèi,старший / предшественник,2,前輩,93
公开,gōngkāi,открыто / публично,1,公開,94
开战,kāizhàn,начать войну,1,開戰,94
开始,kāishǐ,начать,5,開始,94
让开,ràngkāi,посторониться,1,讓開,94
离开,líkāi,покинуть,1,離開,94
实力,shílì,сила / мощь,1,實力,100
确实,quèshí,действительно,1,確實,100
实话,shíhuà,правда,1,實話,100
坐实,zuòshí,подтвердить (вину),1,坐實,100
强者,qiángzhě,сильный,5,強者,103
或者,huòzhě,или,2,或者,103
意思,yìsi,смысл,6,意思,104
故意,gùyì,нарочно,4,故意,104
注意,zhùyì,внимание / обращать внимание,1,注意,104
善意,shànyì,добрая воля,1,善意,104
无辜,wúgū,невиновный,2,無辜,105
无礼,wúlǐ,невежливый,1,無禮,105
无害,wúhài,безвредный,1,無害,105
无视,wúshì,игнорировать,1,無視,105
灵力,línglì,духовная сила,7,靈力,106
尽力,jìnlì,стараться изо всех сил,2,盡力,106
战力,zhànlì,боевая сила,1,戰力,106
势力,shìlì,сила / влияние,1,勢力,106
余力,yúlì,запас сил,1,餘力,106
全力,quánlì,изо всех сил,1,全力,106
火力,huǒlì,огневая мощь,1,火力,106
参与,cānyù,участвовать,6,參與,108
长相,zhǎngxiàng,внешность,1,長相,109
长老,zhǎnglǎo,старейшина,12,長老,109
馆长,guǎnzhǎng,директор (гильдии),7,館長,109
队长,duìzhǎng,командир / капитан,3,隊長,109
飞机,fēijī,самолёт,7,飛機,111
机型,jīxíng,модель (техники),2,機型,111
班机,bānjī,рейс,1,班機,111
坠机,zhuìjī,крушение самолёта,1,墜機,111
阿公,āgōng,дедушка,3,阿公,115
情况,qíngkuàng,ситуация,3,情況,120
明白,míngbai,понятно,3,明白,121
证明,zhèngmíng,доказать,2,證明,121
明早,míngzǎo,завтра утром,1,明早,121
特性,tèxìng,свойство,1,特性,122
通知,tōngzhī,уведомить,2,通知,123
安全,ānquán,безопасность,2,安全,124
三份,sānfèn,три части,2,三份,125
关系,guānxì,связь / отношение,2,關係,127
高点,gāodiǎn,высокая точка,1,高點,128
重点,zhòngdiǎn,суть / главное,1,重點,128
外流,wàiliú,утечка,1,外流,131
高层,gāocéng,руководство / верхушка,1,高層,134
空间,kōngjiān,пространство,7,空間,135
房间,fángjiān,комната,1,房間,135
任由,rènyóu,позволять,1,任由,136
问题,wèntí,проблема,4,問題,137
最近,zuìjìn,недавно,5,最近,139
最强,zuìqiáng,сильнейший,4,最強,139
重量,zhòngliàng,вес,1,重量,140
严重,yánzhòng,серьёзный,1,嚴重,140
住手,zhùshǒu,прекрати,4,住手,143
手段,shǒuduàn,средства / приёмы,2,手段,143
手脚,shǒujiǎo,махинации,1,手腳,143
停手,tíngshǒu,остановиться,1,停手,143
应该,yīnggāi,следует / должно быть,12,應該,144
感应,gǎnyìng,ощущать / чувствовать,1,感應,144
战争,zhànzhēng,война,6,戰爭,145
战斗,zhàndòu,бой,2,戰鬥,145
挑战,tiǎozhàn,вызов,1,挑戰,145
战场,zhànchǎng,поле боя,1,戰場,145
指向,zhǐxiàng,указывать на,1,指向,146
单向,dānxiàng,односторонний,1,單向,146
弹头,dàntóu,боеголовка / пуля,2,彈頭,147
具体,jùtǐ,конкретный,1,具體,149
掩体,yǎntǐ,укрытие,1,掩體,149
相信,xiāngxìn,верить,3,相信,152
真相,zhēnxiàng,правда / истина,1,真相,152
见识,jiànshi,повидать / опыт,1,見識,153
等候,děnghòu,ожидать,1,等候,158
限制,xiànzhì,ограничивать,3,限制,163
控制,kòngzhì,контролировать,3,控制,163
压制,yāzhì,подавлять,3,壓制,163
抑制,yìzhì,подавлять,1,抑制,163
随身,suíshēn,при себе,2,隨身,164
增加,zēngjiā,увеличить,1,增加,166
加油,jiāyóu,давай / удачи,1,加油,166
加入,jiārù,присоединиться,1,加入,166
参加,cānjiā,участвовать,1,參加,166
东西,dōngxi,вещь,2,東西,167
笑话,xiàohuà,шутка / насмешка,2,笑話,170
配合,pèihé,содействовать,4,配合,171
凑合,còuhe,кое-как сойдёт,3,湊合,171
合适,héshì,подходящий,1,合適,171
适合,shìhé,подходить,1,適合,171
回收,huíshōu,вернуть / собрать,1,回收,172
收回,shōuhuí,вернуть / отозвать,1,收回,172
特令,tèlìng,особый приказ,2,特令,173
特别,tèbié,особенно,1,特別,173
特殊,tèshū,особый,1,特殊,173
代价,dàijià,цена / плата,1,代價,174
信任,xìnrèn,доверие,1,信任,176
老虎,lǎohǔ,тигр,1,老虎,179
交给,jiāogěi,передать,2,交給,180
世界,shìjiè,мир,3,世界,181
位置,wèizhì,позиция,2,位置,182
各位,gèwèi,уважаемые (все),1,各位,182
专门,zhuānmén,специально,1,專門,185
任务,rènwù,задание / миссия,11,任務,186
责任,zérèn,ответственность,1,責任,186
非常,fēicháng,очень,3,非常,187
常规,chángguī,обычный / штатный,1,常規,187
常谈,chángtán,банальность,1,常談,187
普通,pǔtōng,обычный,2,普通,190
提交,tíjiāo,представить,1,提交,196
提醒,tíxǐng,напомнить,1,提醒,196
立场,lìchǎng,позиция,1,立場,197
波及,bōjí,затронуть,1,波及,198
了解,liǎojiě,понимать / разбираться,1,瞭解,201
解决,jiějué,решить,1,解決,201
解除,jiěchú,снять / отменить,1,解除,201
解释,jiěshì,объяснить,1,解釋,201
真凶,zhēnxiōng,настоящий преступник,2,真兇,204
认真,rènzhēn,серьёзно,2,認真,204
讨论,tǎolùn,обсуждать,1,討論,205
处死,chǔsǐ,казнить,1,處死,206
处置,chǔzhì,распорядиться / покарать,1,處置,206
几乎,jīhū,почти,1,幾乎,211
活口,huókǒu,живой свидетель,1,活口,212
否认,fǒurèn,отрицать,1,否認,213
认识,rènshi,быть знакомым,5,認識,213
确认,quèrèn,подтвердить,1,確認,213
系统,xìtǒng,система,1,系統,216
土系,tǔxì,стихия земли,1,土系,216
氧气,yǎngqì,кислород,2,氧氣,217
气流,qìliú,воздушный поток,1,氣流,217
活着,huózhe,живой,1,活著,219
死活,sǐhuó,во что бы то ни стало,1,死活,219
区别,qūbié,разница,1,區別,222
级别,jíbié,уровень,1,級別,222
打车,dǎchē,поймать такси,1,打車,223
打劫,dǎjié,грабёж,1,打劫,223
打架,dǎjià,драка,1,打架,223
攻打,gōngdǎ,штурмовать,1,攻打,223
打败,dǎbài,победить,1,打敗,223
改变,gǎibiàn,изменить,1,改變,225
变态,biàntài,ненормальный / извращенец,1,變態,225
神木,shénmù,священное дерево,1,神木,227
总馆,zǒngguǎn,главный штаб (гильдии),3,總館,228
何况,hékuàng,тем более,2,何況,229
少数,shǎoshù,меньшинство,1,少數,231
安排,ānpái,организовать,1,安排,232
少量,shǎoliàng,небольшое количество,1,少量,233
报仇,bàochóu,отомстить,2,報仇,234
汇报,huìbào,докладывать,1,彙報,234
结界,jiéjiè,барьер,1,結界,236
反省,fǎnxǐng,каяться / размышлять,1,反省,237
感受,gǎnshòu,чувства,1,感受,238
目标,mùbiāo,цель,2,目標,239
尽量,jǐnliàng,по возможности,1,盡量,241
建交,jiànjiāo,установить дипотношения,1,建交,244
搭建,dājiàn,построить / возвести,1,搭建,244
接触,jiēchù,контакт,2,接觸,247
接近,jiējìn,приближаться,1,接近,247
必须,bìxū,обязательно,7,必須,248
场景,chǎngjǐng,сцена / ситуация,1,場景,249
广场,guǎngchǎng,площадь,1,廣場,249
计划,jìhuà,план,1,計劃,251
保管,bǎoguǎn,хранить,1,保管,252
监管,jiānguǎn,надзор,1,監管,252
管控,guǎnkòng,контролировать,1,管控,252
资格,zīgé,право / квалификация,2,資格,257
资料,zīliào,данные / материалы,1,資料,257
保命,bǎomìng,спасти жизнь,1,保命,258
金属,jīnshǔ,металл,4,金屬,260
指示,zhǐshì,указание,1,指示,261
统治,tǒngzhì,править,2,統治,264
保护,bǎohù,защищать,4,保護,266
保存,bǎocún,хранить,1,保存,266
保证,bǎozhèng,гарантировать,1,保證,266
保持,bǎochí,сохранять,1,保持,266
形容,xíngróng,описывать,1,形容,269
随便,suíbiàn,как угодно,1,隨便,271
科技,kējì,технологии,1,科技,277
转眼,zhuǎnyǎn,в мгновение ока,1,轉眼,281
眼睛,yǎnjing,глаза,1,眼睛,281
风光,fēngguāng,блеск / слава,1,風光,290
放松,fàngsōng,расслабиться,3,放鬆,291
释放,shìfàng,выпустить,1,釋放,291
象征,xiàngzhēng,символ,1,象徵,300
路边,lùbiān,обочина,2,路邊,305
记录,jìlù,запись,3,記錄,306
住宿,zhùsù,проживание,1,住宿,309
稳住,wěnzhù,стабилизировать,1,穩住,309
告诉,gàosu,сказать,3,告訴,310
证据,zhèngjù,доказательство,3,證據,313
专程,zhuānchéng,специально приехать,1,專程,314
哪边,nǎbiān,какая сторона,1,哪邊,316
死角,sǐjiǎo,мёртвая зона,1,死角,317
嚣张,xiāozhāng,наглый,1,囂張,318
规矩,guīju,правила,6,規矩,321
千万,qiānwàn,ни в коем случае,2,千萬,322
夺取,duóqǔ,захватить,1,奪取,323
希望,xīwàng,надеяться,3,希望,326
领导,lǐngdǎo,руководитель,1,領導,329
共存,gòngcún,сосуществование,6,共存,330
确凿,quèzáo,неопровержимый,1,確鑿,331
传送,chuánsòng,телепортация / передача,23,傳送,332
师父,shīfu,наставник / учитель,47,師父,333
师姊,shījiě,старшая соученица,19,師姊,333
师叔,shīshū,дядя-наставник,3,師叔,333
师弟,shīdì,младший соученик,1,師弟,333
清除,qīngchú,устранить,2,清除,335
清楚,qīngchu,ясно,2,清楚,335
切割,qiēgē,резать,2,切割,337
运送,yùnsòng,перевозить,1,運送,345
转运,zhuǎnyùn,перевезти,1,轉運,345
玩笑,wánxiào,шутка,1,玩笑,346
篡改,cuàngǎi,подделать / исказить,1,篡改,350
收拾,shōushi,разобраться / прибрать,5,收拾,351
干嘛,gànmá,зачем / что делаешь,9,幹嘛,353
干掉,gàndiào,прикончить,2,幹掉,353
伪造,wěizào,подделать,1,偽造,354
维持,wéichí,поддерживать,1,維持,357
车牌,chēpái,номер машины,1,車牌,361
积极,jījí,активно,1,積極,363
尽快,jǐnkuài,как можно скорее,2,盡快,366
愉快,yúkuài,приятный,1,愉快,366
验证,yànzhèng,проверить,1,驗證,373
证词,zhèngcí,показания,1,證詞,373
附近,fùjìn,поблизости,2,附近,374
失窃,shīqiè,быть украденным,1,失竊,375
遗失,yíshī,потерять,1,遺失,375
失败,shībài,провал,1,失敗,375
损失,sǔnshī,потеря / ущерб,1,損失,375
准备,zhǔnbèi,готовиться,2,準備,379
封存,fēngcún,опечатать / законсервировать,1,封存,384
永远,yǒngyuǎn,вечно,2,永遠,386
简单,jiǎndān,просто,4,簡單,389
袭击,xíjī,нападение,3,襲擊,395
击碎,jīsuì,разбить вдребезги,1,擊碎,395
备份,bèifèn,резервная копия,1,備份,397
戒备,jièbèi,быть начеку,1,戒備,397
连累,liánlèi,впутать,1,連累,399
团伙,tuánhuǒ,банда / группировка,1,團夥,405
聚集,jùjí,собираться,2,聚集,406
升级,shēngjí,повышаться / эскалация,1,昇級,415
距离,jùlí,расстояние,1,距離,418
状况,zhuàngkuàng,положение / ситуация,1,狀況,419
消息,xiāoxi,новость,4,消息,428
休息,xiūxi,отдыхать,3,休息,428
线索,xiànsuǒ,зацепка,2,線索,430
判断,pànduàn,судить / определять,2,判斷,434
断崖,duànyá,обрыв,1,斷崖,434
妖精,yāojing,дух / ёкай,29,妖精,435
消灭,xiāomiè,уничтожить,3,消滅,439
超越,chāoyuè,превзойти,1,超越,440
武器,wǔqì,оружие,7,武器,441
容易,róngyì,легко,1,容易,442
照顾,zhàogù,заботиться,4,照顧,443
研制,yánzhì,разработать,1,研製,447
历史,lìshǐ,история,2,歷史,456
迟早,chízǎo,рано или поздно,1,遲早,462
吃饭,chīfàn,есть / кушать,4,吃飯,475
破局,pòjú,выйти из тупика,1,破局,483
冲突,chōngtū,конфликт,2,衝突,484
浪费,làngfèi,тратить впустую,2,浪費,486
考虑,kǎolǜ,обдумать,1,考慮,495
落差,luòchā,перепад,1,落差,496
选择,xuǎnzé,выбор,1,選擇,499
阵势,zhènshì,расстановка / масштаб,1,陣勢,506
投降,tóuxiáng,сдаться,1,投降,516
维修,wéixiū,ремонт,2,維修,520
掩护,yǎnhù,прикрывать,1,掩護,529
负责,fùzé,отвечать за,2,負責,535
跟丢,gēndiū,потерять из виду,3,跟丟,541
跟踪,gēnzōng,следить,1,跟蹤,541
跟紧,gēnjǐn,держаться рядом,1,跟緊,541
彻底,chèdǐ,полностью / в корне,1,徹底,543
严惩,yánchéng,сурово наказать,1,嚴懲,545
继续,jìxù,продолжать,3,繼續,552
措施,cuòshī,меры,1,措施,553
残留,cánliú,остаток,1,殘留,554
材料,cáiliào,материал,1,材料,557
侦察,zhēnchá,разведка,1,偵察,564
环境,huánjìng,среда / окружение,1,環境,582
阻止,zǔzhǐ,остановить / помешать,1,阻止,596
破坏,pòhuài,разрушить,1,破壞,604
破阵,pòzhèn,сломать формацию,1,破陣,604
热闹,rènao,оживлённый,1,熱鬧,606
乐趣,lèqù,удовольствие,1,樂趣,619
铁球,tiěqiú,железный шар,1,鐵球,628
恐怕,kǒngpà,"боюсь, что",2,恐怕,631
辛苦,xīnkǔ,тяжкий труд,1,辛苦,634
预警,yùjǐng,раннее предупреждение,3,預警,647
着急,zháojí,волноваться,1,著急,657
伤亡,shāngwáng,жертвы / потери,1,傷亡,660
喜欢,xǐhuan,нравиться,7,喜歡,668
灵源,língyuán,источник духовной силы,1,靈源,670
危险,wēixiǎn,опасность,2,危險,672
冒充,màochōng,выдавать себя за,1,冒充,690
欺负,qīfu,обижать,1,欺負,691
游戏,yóuxì,игра,2,遊戲,695
嫌疑,xiányí,подозрение,5,嫌疑,698
怀疑,huáiyí,подозревать,1,懷疑,698
冷静,lěngjìng,спокойствие,1,冷靜,700
浴室,yùshì,ванная комната,1,浴室,708
审判,shěnpàn,суд,2,審判,719
迫降,pòjiàng,аварийная посадка,2,迫降,744
坚硬,jiānyìng,твёрдый,1,堅硬,748
妈妈,māma,мама,1,媽媽,750
避免,bìmiǎn,избежать,1,避免,755
追踪,zhuīzōng,отслеживать,4,追蹤,768
帮忙,bāngmáng,помощь,2,幫忙,769
睡着,shuìzháo,заснуть,1,睡著,777
监控,jiānkòng,видеонаблюдение,4,監控,780
左右,zuǒyòu,около / примерно,2,左右,782
阵亡,zhènwáng,погибнуть в бою,1,陣亡,788
酒店,jiǔdiàn,отель,2,酒店,797
胡闹,húnào,устраивать беспорядок,1,胡鬧,806
顾忌,gùjì,опасения,1,顧忌,815
徒弟,túdì,ученик,6,徒弟,816
伯伯,bóbo,дядя,1,伯伯,821
慢慢,mànmàn,медленно,1,慢慢,822
讨厌,tǎoyàn,неприятный / противный,5,討厭,833
招呼,zhāohu,приветствие,1,招呼,843
拆掉,chāidiào,снести / демонтировать,1,拆掉,849
复杂,fùzá,сложный,1,複雜,853
探测,tàncè,зондировать / обнаруживать,1,探測,861
枪械,qiāngxiè,огнестрельное оружие,1,槍械,874
遗漏,yílòu,упустить,1,遺漏,892
隐藏,yǐncáng,скрывать,1,隱藏,907
订票,dìngpiào,забронировать билет,2,訂票,910
顶端,dǐngduān,верхушка,1,頂端,916
礼貌,lǐmào,вежливость,1,禮貌,926
蕴含,yùnhán,содержать в себе,1,蘊含,937
旅途,lǚtú,путешествие,1,旅途,950
躲避,duǒbì,уклоняться,1,躲避,991
熟练,shúliàn,умелый / опытный,1,熟練,1005
翻盘,fānpán,отыграться,1,翻盤,1027
隐蔽,yǐnbì,укрыться / скрытный,2,隱蔽,1034
渗透,shèntòu,просачиваться,1,滲透,1077
痕迹,hénjì,след,8,痕跡,1098
抵挡,dǐdǎng,противостоять,1,抵擋,1119
折返,zhéfǎn,повернуть назад,1,折返,1131
混蛋,húndàn,негодяй,1,混蛋,1137
摩擦,mócā,трения / конфликты,1,摩擦,1162
操纵,cāozòng,управлять,1,操縱,1173
偏袒,piāntǎn,покровительствовать,1,偏袒,1204
触碰,chùpèng,касаться,1,觸碰,1207
惩罚,chéngfá,наказание,1,懲罰,1215
犹豫,yóuyù,колебаться,1,猶豫,1230
洗澡,xǐzǎo,принимать душ,1,洗澡,1247
嫉恨,jíhèn,завидовать и ненавидеть,1,嫉恨,1295
挑拨,tiǎobō,подстрекать,1,挑撥,1309
珍惜,zhēnxī,дорожить,1,珍惜,1314
拖累,tuōlěi,обременять,1,拖累,1323
仰仗,yǎngzhàng,полагаться,1,仰仗,1368
干净,gānjìng,чистый,1,乾淨,1377
牺牲,xīshēng,жертва,3,犧牲,1582
牢笼,láolóng,клетка / темница,1,牢籠,1696
谨慎,jǐnshèn,осторожный,1,謹慎,1765
哨岗,shàogǎng,пост / караул,1,哨崗,1795
垃圾,lājī,мусор / хлам,1,垃圾,2628
镶嵌,xiāngqiàn,инкрустировать,1,鑲嵌,2831
